name,mbase,bus_index,pg,qg,fuel,fuel_type,pmin,pmax,qmin,qmax,year_added
gen_TOORAWF,23.330385680481154,1629,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.061419292916799956,-0.02972693777173118,0.02972693777173118,2025
gen_2011_1,53.081727110997626,1990,-9.779911865983563e-9,-0.0267974905324575,naturalgas,Fossil,0.0,0.53,-0.029444444444444447,0.029444444444444447,2025
gen_1002_1,848.605419222452,130,7.59184936237757,2.227315438578727,blackcoal,Fossil,0.0,6.6,-1.8635294117647054,2.8729411764705883,2025
gen_2030_1,159.16666923398668,1433,1.1000000106520977,0.499999984643284,wind,Wind,0.0,0.42379312112591977,-0.19263323687541808,0.19263323687541808,2025
wtg_S4_1,101.46158447905296,2004,0.0,0.0,wind,wind,0.0,0.3925233200458534,-0.1962616600229267,0.1962616600229267,2025
gen_2041_1,56.444140910141414,827,2.1000000122947,0.19511240931049906,naturalgas,Fossil,0.0,0.5,-0.09523809523809523,0.2619047619047619,2025
gen_1084_1,52.3175148501992,446,0.6000000096707853,-0.024072426121756852,wind,Wind,0.0,0.20197865659029707,-0.06732621886343237,0.03366310943171619,2025
gen_4059_1,134.14726414117618,1927,1.5999998502828339,0.35963256204617866,wind,Wind,0.0,0.5315825458251833,0.0,0.23256736379851764,2025
gen_3295_1,392.3008464002056,1616,1.7931772339966294,-0.4091886388250841,blackcoal,Fossil,0.0,3.65,-0.8111111111111111,1.4378787878787878,2025
gen_4031_1,138.29316685939332,642,0.8819804222750354,1.5310325958484783,solar,Solar,0.0,0.0,-0.0,0.0,2025
gen_WHITSF1,63.88081793465077,88,0.0,-0.7957050950398918,solar,Solar,0.0,0.0,-0.0,0.0,2025
gen_BAPS_1,6.77692155480643,893,-9.621017705979893e-9,0.09999999256202241,hydrowater,Hydro,0.0,0.061,-0.029523999999999998,0.029523999999999998,2025
pv_Q8_1,1118.033988749895,2001,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2025
gen_3419_1,20.417134706402297,1216,0.8479755663852845,-0.5477465685138309,hydrowater,Hydro,0.0,0.18680000000000002,-0.03845882352941177,0.08241176470588235,2025
gen_BPLANDF1_1,1.2109581138916405,1458,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.002016569290784233,-0.0009760195367395685,0.0009760195367395685,2025
gen_WILLHOV1,1.999747344041242,218,-9.621017705979893e-9,0.09999999256202241,hydrowater,Hydro,0.0,0.018000000000000002,-0.008712000000000001,0.008712000000000001,2025
pv_N5_2,135.63988351513717,1393,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2025
gen_5012_1,37.868305058335,798,0.4000000086737971,0.07377406156710337,hydrowater,Hydro,0.0,0.06,-0.03,0.03,2025
gen_4079_1,93.21615282686825,1874,0.7141254040842899,0.09178734218211838,wind,Wind,0.0,0.40153441554736513,-0.03650312868612411,0.03650312868612411,2025
gen_GUNNING1_1,25.830069860532706,933,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.0268343072327109,-0.012987804700632075,0.012987804700632075,2025
gen_3548_1,1.0877079349942498,1310,0.0,-1.0999999788698853,solar,Solar,0.0,0.0,-0.0,0.0,2025
gen_CHILDSF1,71.52429667187506,1084,0.0,-0.7957050950398918,solar,Solar,0.0,0.0,-0.0,0.0,2025
gen_5229_1,65.7624427797273,559,0.7000000097767731,0.09535439434522726,hydrowater,Hydro,0.0,0.799,-0.22828571428571431,0.34242857142857147,2025
gen_3544_1,1.0614524376113004,139,0.0,-1.0999999410599066,solar,Solar,0.0,0.0,-0.0,0.0,2025
gen_CULLRGWF,33.32912240068736,1329,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.03462491255833665,-0.016758457678234934,0.016758457678234934,2025
gen_3295_2,392.3008464002056,1616,1.7931772339966294,-0.4091886388250841,blackcoal,Fossil,0.0,3.65,-0.8111111111111111,1.4378787878787878,2025
gen_3273_1,1.0577576532261401,572,0.0,-0.09565560078061104,solar,Solar,0.0,0.0,-0.0,0.0,2025
gen_OAKEY2SF,44.79434050652381,722,0.0,-0.7957050950398918,solar,Solar,0.0,0.0,-0.0,0.0,2025
wtg_T1_1,187.82971010998233,2008,0.0,0.0,wind,wind,0.0,0.24610006160183917,-0.12305003080091959,0.12305003080091959,2025
gen_2095_1,190.50777777777776,1889,2.2685108480654534,-0.35958253027045595,wind,Wind,0.0,0.5143232090664601,-0.1607260028332688,0.21430133711102506,2025
gen_BAPS_2,6.77692155480643,893,-9.621017705979893e-9,0.09999999256202241,hydrowater,Hydro,0.0,0.061,-0.029523999999999998,0.029523999999999998,2025
gen_1059_1,46.1062790306169,210,0.5000000096218645,0.07228631519846385,naturalgas,Fossil,0.0,1.81,-0.7240000000000001,0.7240000000000001,2025
gen_GRIFSF1,30.207294602489647,1077,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2025
gen_4050_1,6.0,1141,1.7887951819074237e-7,0.0,solar,Solar,0.0,0.0,0.0,0.0,2025
gen_3562_1,1.0608646189095496,849,0.0,-0.163762210297494,solar,Solar,0.0,0.0,-0.0,0.0,2025
gen_1044_1,1667.0932787339766,555,8.400000075184948,-1.0807269730475024,blackcoal,Fossil,0.0,14.4,-8.4,8.4,2025
gen_1005_1,755.5949696494532,332,9.131629824889368,-0.467106369577295,blackcoal,Fossil,0.0,6.7875,-1.4017663043478263,3.319972826086957,2025
