name,mbase,bus_index,pg,qg,fuel,fuel_type,pmin,pmax,qmin,qmax,year_added,bus_name,area
gen_TOORAWF,23.330385680481157,1629,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.0,0.0614192929167999,-0.0297269377717311,0.0297269377717311,2025,bus_2278,7
gen_2011_1,53.081727110997626,1990,-9.779911865983564e-09,-0.0267974905324575,naturalgas,Fossil,0.0,0.53,-0.0294444444444444,0.0294444444444444,2025,bus_2011,6
gen_1002_1,848.605419222452,130,7.59184936237757,2.227315438578727,blackcoal,Fossil,0.0,6.6,-1.8635294117647052,2.8729411764705883,2025,bus_1002,2
gen_2030_1,159.16666923398668,1433,1.1000000106520975,0.499999984643284,wind,Wind,0.0,0.4237931211259197,-0.192633236875418,0.192633236875418,2025,bus_2030,5
wtg_S4_1,101.46158447905296,2004,0.0,0.0,wind,wind,0.0,0.3925233200458534,-0.1962616600229267,0.1962616600229267,2025,connection S4,13
gen_2041_1,56.44414091014141,827,2.1000000122947,0.195112409310499,naturalgas,Fossil,0.0,0.5,-0.0952380952380952,0.2619047619047619,2025,bus_2041,6
gen_1084_1,52.3175148501992,446,0.6000000096707853,-0.0240724261217568,wind,Wind,0.0,0.201978656590297,-0.0673262188634323,0.0336631094317161,2025,bus_1084,2
gen_4059_1,134.14726414117618,1927,1.599999850282834,0.3596325620461786,wind,Wind,0.0,0.5315825458251833,0.0,0.2325673637985176,2025,bus_4059,14
gen_3295_1,392.3008464002056,1616,1.7931772339966294,-0.4091886388250841,blackcoal,Fossil,0.0,3.65,-0.8111111111111111,1.4378787878787878,2025,bus_3295,10
gen_4031_1,138.29316685939332,642,0.8819804222750354,1.5310325958484785,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_4031,13
gen_WHITSF1,63.88081793465077,88,0.0,-0.7957050950398918,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_3583,11
gen_BAPS_1,6.77692155480643,893,-9.621017705979892e-09,0.0999999925620224,hydrowater,Hydro,0.0,0.061,-0.0295239999999999,0.0295239999999999,2025,bus_2265,6
pv_Q8_1,1118.033988749895,2001,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2025,connection Q8,11
gen_3419_1,20.417134706402297,1216,0.8479755663852845,-0.5477465685138309,hydrowater,Hydro,0.0,0.1868,-0.0384588235294117,0.0824117647058823,2025,bus_3419,9
gen_BPLANDF1_1,1.2109581138916403,1458,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.0,0.0020165692907842,-0.0009760195367395,0.0009760195367395,2025,bus_3149,9
gen_WILLHOV1,1.999747344041242,218,-9.621017705979892e-09,0.0999999925620224,hydrowater,Hydro,0.0,0.018,-0.008712,0.008712,2025,bus_2342,5
pv_N5_2,135.63988351513717,1393,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2025,bus_1206,4
gen_5012_1,37.868305058335,798,0.4000000086737971,0.0737740615671033,hydrowater,Hydro,0.0,0.06,-0.03,0.03,2025,bus_5012,15
gen_4079_1,93.21615282686824,1874,0.7141254040842899,0.0917873421821183,wind,Wind,0.0,0.4015344155473651,-0.0365031286861241,0.0365031286861241,2025,bus_4079,14
gen_GUNNING1_1,25.830069860532703,933,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.0,0.0268343072327109,-0.012987804700632,0.012987804700632,2025,bus_1060,4
gen_3548_1,1.0877079349942498,1310,0.0,-1.099999978869885,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_3547,9
gen_CHILDSF1,71.52429667187506,1084,0.0,-0.7957050950398918,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_3582,11
