name,mbase,bus_index,pg,qg,fuel,fuel_type,pmax,qmax,year_exp,exp_time
wtg_Q5_1,0.0,685,0.0,0.0,wind,wind,0.0,0.0,2025,2025-12-01
owtg_S10_1,0.0,2020,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2025,2025-12-01
gen_3437_4,375.605614145869,1758,3.764650693876176e-07,-0.2012076635562376,blackcoal,Fossil,3.8,1.6,2025,2025-12-01
gen_3424_2,313.04951684997053,782,4.300000042648753,0.6413538804389902,blackcoal,Fossil,2.8,1.4,2025,2025-12-01
pv_T2_1,0.0,2009,0.0,0.0,solar,solar,0.0,0.0,2025,2025-12-01
gen_4048_11,0.1282587270615619,1407,0.0,0.1999998528923005,solar,Solar,0.0,0.2,2025,2025-12-01
wtg_S9_1,0.0,2007,0.0,0.0,wind,wind,0.0,0.0,2025,2025-12-01
pv_S9_1,0.0,2007,0.0,0.0,solar,solar,0.0,0.0,2025,2025-12-01
gen_3438_1,209.356691142824,1381,-9.154833759493892e-09,-0.0427348215062034,naturalgas,Fossil,2.1,0.9,2025,2025-12-01
gen_3435_2,157.83937821052,1150,1.6000000156461596,0.1560928520143195,naturalgas,Fossil,1.6,0.7,2025,2025-12-01
wtg_Q6_1,0.0,2013,0.0,0.0,wind,wind,0.0,0.0,2025,2025-12-01
owtg_T4_1,0.0,2021,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2025,2025-12-01
gen_3417_1,327.941066311374,1067,1.300002772362929,-0.1707371562284781,blackcoal,Fossil,3.3,1.5,2025,2025-12-01
gen_3264_1,240.121851232834,273,2.5000000246455096,0.1999997686211301,naturalgas,Fossil,2.5,0.2,2025,2025-12-01
gen_4013_22,0.252659386300459,1849,0.0316428529929992,0.0999999297657395,solar,Solar,0.3,0.1,2025,2025-12-01
wtg_S6_1,0.0,264,0.0,0.0,wind,wind,0.0,0.0,2025,2025-12-01
gen_3526_3,230.990713269683,1663,2.400000023645662,0.2891444021336835,naturalgas,Fossil,2.4,1.0,2025,2025-12-01
gen_1013_1,837.73504164503,82,0.5000000096424646,0.0053170651507489,naturalgas,Fossil,7.7,3.3,2025,2025-12-01
gen_3525_2,223.21536341426,1298,2.3000000226458166,0.272383274347598,naturalgas,Fossil,2.3,0.9,2025,2025-12-01
gen_3422_6,313.04951684997053,782,3.3000000326475605,0.1253919365736007,blackcoal,Fossil,2.8,1.4,2025,2025-12-01
owtg_T5_1,0.0,2022,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2025,2025-12-01
pv_Q1_1,0.0,965,0.0,0.0,solar,solar,0.0,0.0,2025,2025-12-01
gen_4376_11,0.19169106867,1630,0.0,0.160148962697456,solar,Solar,0.0,0.2,2025,2025-12-01
gen_5234_1,16.3866927560885,1086,-7.467691120250695e-09,-0.0999996281167601,hydrowater,Hydro,0.2,0.1,2025,2025-12-01
gen_3436_3,153.609530652668,1571,-9.488174171432076e-09,-0.0634288727186488,naturalgas,Fossil,1.6,0.7,2025,2025-12-01
gen_3421_5,313.04951684997053,608,3.300000032647392,0.2139206597628938,blackcoal,Fossil,2.8,1.4,2025,2025-12-01
gen_4009_11,0.128727573506534,1658,0.0,0.1999999927811417,solar,Solar,0.0,0.2,2025,2025-12-01
gen_4008_1,21.6044311194727,723,-9.790929633526754e-09,0.0999999929406111,wind,Wind,0.3,0.1,2025,2025-12-01
