name,mbase,bus_index,pg,qg,fuel,fuel_type,pmax,qmax,year_exp
pv_S9_1,0.0,2007,0.0,0.0,solar,solar,0.0,0.0,2025
gen_3438_1,209.356691142824,1381,-9.154833759493893e-9,-0.042734821506203426,naturalgas,Fossil,2.1,0.9,2025
gen_3435_2,157.83937821052,1150,1.6000000156461596,0.15609285201431955,naturalgas,Fossil,1.6,0.7,2025
wtg_Q6_1,0.0,2013,0.0,0.0,wind,wind,0.0,0.0,2025
owtg_T4_1,0.0,2021,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2025
gen_3417_1,327.941066311374,1067,1.300002772362929,-0.1707371562284781,blackcoal,Fossil,3.3,1.5,2025
gen_3264_1,240.12185123283402,273,2.5000000246455096,0.19999976862113011,naturalgas,Fossil,2.5,0.2,2025
gen_4013_22,0.252659386300459,1849,0.031642852992999286,0.09999992976573958,solar,Solar,0.3,0.1,2025
wtg_S6_1,0.0,264,0.0,0.0,wind,wind,0.0,0.0,2025
gen_3526_3,230.990713269683,1663,2.400000023645662,0.28914440213368353,naturalgas,Fossil,2.4,1.0,2025
gen_1013_1,837.73504164503,82,0.5000000096424646,0.005317065150748971,naturalgas,Fossil,7.7,3.3,2025
gen_3525_2,223.21536341426,1298,2.3000000226458166,0.27238327434759807,naturalgas,Fossil,2.3,0.9,2025
gen_3422_6,313.04951684997053,782,3.3000000326475605,0.1253919365736007,blackcoal,Fossil,2.8,1.4,2025
owtg_T5_1,0.0,2022,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2025
pv_Q1_1,0.0,965,0.0,0.0,solar,solar,0.0,0.0,2025
gen_4376_11,0.19169106867,1630,0.0,0.16014896269745604,solar,Solar,0.0,0.2,2025
gen_5234_1,16.3866927560885,1086,-7.467691120250695e-9,-0.09999962811676015,hydrowater,Hydro,0.2,0.1,2025
gen_3436_3,153.609530652668,1571,-9.488174171432075e-9,-0.0634288727186488,naturalgas,Fossil,1.6,0.7,2025
gen_3421_5,313.04951684997053,608,3.3000000326473917,0.21392065976289384,blackcoal,Fossil,2.8,1.4,2025
gen_4009_11,0.128727573506534,1658,0.0,0.1999999927811417,solar,Solar,0.0,0.2,2025
gen_4008_1,21.6044311194727,723,-9.790929633526754e-9,0.09999999294061114,wind,Wind,0.3,0.1,2025
pv_S4_1,0.0,2004,0.0,0.0,solar,solar,0.0,0.0,2025
gen_3455_3,23.6974350718665,1087,-9.384042190406689e-9,0.013164621505081265,hydrowater,Hydro,0.3,0.2,2025
gen_4037,0.3639012011000001,926,0.0,-0.01386562371392315,solar,Solar,0.0,0.3,2025
owtg_V8_1,0.0,2019,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2025
wtg_N6_1,0.0,1393,0.0,0.0,wind,wind,0.0,0.0,2025
gen_1068_2,1667.0932787339766,667,0.3000000096674061,0.16448396988732886,naturalgas,Fossil,14.4,8.4,2025
wtg_V5_1,0.0,1004,0.0,0.0,wind,wind,0.0,0.0,2025
gen_3456_4,24.5818638734054,166,-8.821841233388489e-9,0.0134439229907317,hydrowater,Hydro,0.3,0.2,2025
gen_4010_21,0.28771634400000007,1800,0.026077162123302154,0.09999992899047752,solar,Solar,0.3,0.1,2025
