timestamp,CNSW_demand_norm,CQ_demand_norm,CSA_demand_norm,GG_demand_norm,NNSW_demand_norm,NQ_demand_norm,SESA_demand_norm,SNSW_demand_norm,SNW_demand_norm,SQ_demand_norm,TAS_demand_norm,VIC_demand_norm,NSW_Solar_norm,QLD_Solar_norm,SA_Solar_norm,VIC_Solar_norm,NSW_Wind_norm,QLD_Wind_norm,SA_Wind_norm,TAS_Wind_norm,VIC_Wind_norm
2024-07-01 00:00:00,1.210671153659857,1.157467144899176,0.4347479674615241,1.0247786110246087,0.6771371381699182,1.1272592100475645,1.2741746977072896,1.2798577037724883,1.1846672639121174,1.2045797277325816,1.172434640357118,1.2297042186733067,0.0,0.0,0.0,0.0,0.5998216370115251,0.6993109870005187,0.3676056613422808,0.21830073606827843,0.12434172835930841
2024-07-01 00:30:00,1.2007607315325104,1.1550685147782827,0.3791485874222008,1.0243314754716015,0.6428184032902913,1.1255422247414317,1.2579999689749504,1.2711665217947665,1.17457372913385,1.2018909219472764,1.1602655639945585,1.2214738531617162,0.0,0.0,0.0,0.0,0.6216995149220659,0.6903156967732572,0.4004538268629754,0.257823935056732,0.13294000236159167
2024-07-01 01:00:00,1.192285742933088,1.1548413351679696,0.32387208428342296,1.024289126338009,0.6134704148507366,1.1253796054170366,1.2419191698686878,1.2637341767803951,1.1659421489762771,1.2016362634081272,1.1565295870816719,1.21504433424905,0.0,0.0,0.0,0.0,0.6147569348242558,0.6408725674311095,0.4264374397068049,0.2575774703085557,0.13352417465228045
2024-07-01 01:30:00,1.1844373494558535,1.1558564801164075,0.2653234764652238,1.0244783622407223,0.5862922582805056,1.1261062655930758,1.2248864678264235,1.2568513392452598,1.1579487414917256,1.202774229266421,1.1553648517987882,1.2045963186286035,0.0,0.0,0.0,0.0,0.6174196407244694,0.616967676666124,0.48962435376827507,0.2431423098913865,0.1402350040626982
2024-07-01 02:00:00,1.1720063792475313,1.158682438048176,0.22031628397305913,1.025005157787591,0.5432451238915526,1.1281291397044702,1.2117931837262041,1.245949701121789,1.1452880858350816,1.205942079434017,1.1550652029801531,1.1939435274514532,0.0,0.0,0.0,0.0,0.5897670282135957,0.6090259972538201,0.545200252870857,0.26027703880260933,0.13868889530883066
2024-07-01 02:30:00,1.1644443740232573,1.1569478462639502,0.1841904467292147,1.0246818072693509,0.5170587037288905,1.1268874861395122,1.201283614625128,1.2393180191553714,1.1375863587916057,1.2039976615517995,1.1547893032885441,1.1873301720348466,0.0,0.0,0.0,0.0,0.5760937069358592,0.5828521512073308,0.5996463491011026,0.27181500924473334,0.14151397971777452
2024-07-01 03:00:00,1.1592359745775018,1.1567771139948828,0.15454578506787764,1.0246499800597917,0.49902257029195196,1.1267652726211277,1.1926595241238642,1.234750388133981,1.1322817246046912,1.2038062983858167,1.15461151833331,1.1840385299683494,0.0,0.0,0.0,0.0,0.569766599896765,0.5666817689491257,0.6572514406260003,0.2814850373610295,0.15306854878980142
2024-07-01 03:30:00,1.1559313412295775,1.1585358071213256,0.12963101547307054,1.0249778235675113,0.487578979310356,1.1280241783848834,1.1854114429569056,1.2318523108286332,1.1289160322355773,1.2057777729304975,1.1574272860300625,1.1817397170158406,0.0,0.0,0.0,0.0,0.5416748629540006,0.5443031949905018,0.659259430634945,0.3203500229231842,0.16233756912145528
2024-07-01 04:00:00,1.1591611551772558,1.1572301977140829,0.11077822608821519,1.0247344411658528,0.4987634844684712,1.1270895985740648,1.1799268858073535,1.2346847741637448,1.1322055231897223,1.204314235471659,1.1684521666615384,1.183250861410134,0.0,0.0,0.0,0.0,0.5417208932209614,0.5449013362535325,0.6707724568849182,0.3324813794169619,0.17078849042029903
2024-07-01 04:30:00,1.1645288422697544,1.158478588332229,0.11082534392488952,1.0249671569191703,0.5173512193930349,1.1279832202941658,1.1799406108420134,1.239392096712952,1.1376723890084666,1.2057136668139574,1.1915528989540707,1.1876256150928222,0.0,0.0,0.0,0.0,0.5325547488723045,0.5540877184579909,0.7392637461846546,0.3885584528588162,0.17169355929034635
2024-07-01 05:00:00,1.1787824554232142,1.1632701462118145,0.12566961787892772,1.0258603654686533,0.566709976986007,1.1314131088396546,1.1842590615276811,1.2518921459951808,1.1521893648666612,1.2110849102888965,1.2140758828422582,1.1988458685396854,0.0,0.0,0.0,0.0,0.5201092331617421,0.5556520484407778,0.768223272647231,0.4054463111895338,0.17810219671164498
2024-07-01 05:30:00,1.1977332198612847,1.1713964539074861,0.15309702919188595,1.0273752134730227,0.6323344782734001,1.1372300743067525,1.1922381476534893,1.2685114761840695,1.1714902815614847,1.2201943127098736,1.2363779049347556,1.2153076941799552,0.0,0.0,0.0,0.0,0.5140297839196217,0.5452724338236937,0.7437127800033486,0.42508806897111934,0.17929346714620745
2024-07-01 06:00:00,1.2338411842280719,1.1799871081536293,0.2051966003571034,1.028976622486475,0.7573725482999344,1.1433794278734928,1.2073947452097948,1.3001772253222401,1.2082654099435195,1.2298242296641495,1.278196741573504,1.242768917575258,0.0,0.0,0.0,0.0,0.5454022707108758,0.5373272079311612,0.7083044870277202,0.4938558546395719,0.20073775625192497
