timestamp,original_daily_timestamp,CNSW_demand_norm,CQ_demand_norm,CSA_demand_norm,GG_demand_norm,NNSW_demand_norm,NQ_demand_norm,SESA_demand_norm,SNSW_demand_norm,SNW_demand_norm,SQ_demand_norm,TAS_demand_norm,VIC_demand_norm,NSW_Solar_norm,QLD_Solar_norm,SA_Solar_norm,VIC_Solar_norm,NSW_Wind_norm,QLD_Wind_norm,SA_Wind_norm,TAS_Wind_norm,VIC_Wind_norm,Summer_Year
2024-12-01,2024-12-01,0.11280283070146953,0.3527353598802511,3.7231734210231036,1.9399692177340988,0.4653404405694298,1.168288023142545,0.16795394924205545,1.1874343437135688,2.293385521586279,2.100457400503287,1.1265262461757986,1.2008430718338645,1.05117600883851,1.2057768662150787,0.9910186329308607,1.330083221572394,0.7581683567117611,0.4343241749408254,0.7335625152239016,0.8066753020240259,0.8180846938817016,2025
2024-12-04,2024-12-02,0.12068227322193002,0.31412356790844226,3.80537921036834,1.830672145137532,0.47940568533708705,1.1532552166789831,0.17558427879344674,1.195576227722305,2.3707941691796686,2.009639556271974,1.1675165656654634,1.22032498104833,1.058433752762009,1.2175266141059478,0.9700648727737066,1.3244183666527058,0.6354993823629747,0.3356076154509878,0.37982473903432706,0.8127321906881744,0.8210778586242053,2025
2024-12-07,2024-12-03,0.10692523141345929,0.27877416648744274,3.813915148435782,1.7306080147966085,0.4611602024251402,1.1394921506004654,0.17637681281470055,1.1838924537389959,2.230553277428905,1.9264899244379057,1.157648597301236,1.222389337900173,1.0545462480669476,0.9242155291869014,0.9819664464657607,1.3278860000905361,0.6083462993601904,0.382031630771465,0.39906078954830465,0.6978637645046495,0.3516856939697125,2025
2024-12-10,2024-12-04,0.10379006976757048,0.2651647515116305,4.437650126505094,1.6920843041230818,0.45678178774767686,1.1341935697787846,0.23616511855072775,1.1811693015157125,2.1986267592602773,1.8944891040950287,1.127747957355525,1.2391775572756862,1.0389265621366073,1.143888459395739,0.9576813078448231,1.3413622731976313,0.6062508272413623,0.54161901340473,0.45787983408921523,0.2552277383007326,0.2850081540593094,2025
2024-12-13,2024-12-05,0.11103181055404705,0.24914692793212673,5.113688174979019,1.646731517659827,0.467713033068306,1.1279546367936493,0.302433922698724,1.187683004447365,2.272237182215484,1.8568312065910364,1.1273884569365542,1.3226900977930043,1.0421373422784157,0.8939374102148999,0.9479747729574073,1.3420388202599716,0.5689447861744257,0.5419458642485192,0.46940408158500885,0.4607605019814835,0.496013692623828,2025
2024-12-16,2024-12-06,0.11095171852384204,0.2314636230961944,4.640345317823897,1.5966746331716326,0.4653962301617887,1.1210696473869102,0.2761860757171079,1.1864222181248816,2.2721250374936197,1.8152189122510922,1.1177759429660994,1.3434086851498237,1.0532872060915972,0.8904208597635679,0.8871511233168701,1.3129132619332458,0.46093501137065607,0.5519871417497068,0.6623772118408794,0.4807479577903845,0.7801990987542209,2025
2024-12-19,2024-12-07,0.1103908408580175,0.2209939767554423,3.926451828259955,1.5670377628192433,0.4635329155554555,1.116993293781104,0.1868226619160309,1.1857420255538613,2.266528397467992,1.790565963260725,1.108268439152944,1.2289026606277305,1.0525772051448137,0.9144230260039486,0.6038158303261059,1.0253727396907502,0.4250812506897526,0.5365618803833224,0.5047087143136556,0.2913930195774689,0.33207255561904137,2025
2024-12-22,2024-12-08,0.11984664630023299,0.23237106754488573,3.751238155607456,1.5992433695334416,0.47505213319984974,1.1214229607667436,0.17251392351620234,1.1929011938879808,2.3641222484923095,1.8173293463876647,1.112616082717622,1.2090516759921912,0.9290796572067707,0.7646872190596454,0.7923502720725223,0.9097196414932047,0.39697620598516553,0.4971692621120573,0.5033833383981927,0.3076224267920137,0.18215499525698198,2025
2024-12-25,2024-12-09,0.12386972745286166,0.27282791678276536,3.950692524930499,1.713766304036934,0.4805576857567858,1.1371748225765468,0.18907256904115288,1.197260602633392,2.4043725799064175,1.9125210100586427,1.1144071209183926,1.2215980604654222,0.823809385802808,0.9507484702935016,0.97498608502087,1.3420388202599716,0.43009036662097827,0.3908924956542716,0.6035885769605938,0.3584850103478035,0.3127131175464038,2025
2024-12-28,2024-12-10,0.10631726965184342,0.2761261711116521,4.375783832753134,1.7231028211769335,0.4594083877695906,1.1384589968153653,0.2344989624000638,1.1827346643312797,2.227336460751698,1.9202825026841759,1.110113095848643,1.2390588570179317,0.5886908624287643,1.0957521927380183,0.9478408150851962,1.3420388202599716,0.4101624300460153,0.45041124331227855,0.5655259036573322,0.258622715777633,0.27154564914672996,2025
2024-12-31,2024-12-11,0.10800970773368,0.28023998984884607,4.320064589170981,1.7347589091363567,0.46315115043568833,1.1400632192319933,0.22550017169919664,1.1849648897398377,2.2415206394318474,1.9299429408521203,1.1126469157459213,1.3019721682701355,0.8722110185417801,1.1293528572048075,0.7050657050654342,1.1099577417635258,0.4050312755980433,0.4391145544926657,0.7727600525841039,0.5933162357080075,0.4474829317730553,2025
2025-01-03,2024-12-12,0.1214332798171996,0.28452143290829207,3.8817544376973014,1.7469061734945264,0.4777896304604858,1.1417365313349217,0.18267271729583584,1.1949502611999179,2.381994452349913,1.9399828854520011,1.1066749702526388,1.2345185711344089,0.6508089117308568,0.9312666762778199,0.8252661058218358,0.5056605342455783,0.3989028514352121,0.40169504178673393,0.823156952482684,0.6009548258827785,0.5424847076689704,2025
2025-01-06,2024-12-13,0.10373506679503787,0.2835796181521773,3.828364329281321,1.7442331419779524,0.45669867090557725,1.141368232212416,0.1794628214198405,1.1811202878888731,2.1980736753629113,1.937758218953014,1.114028687130672,1.2196272954258762,0.8604750260724581,1.0144230612614358,0.7867302437533591,1.113441943109695,0.4076044787800361,0.44332903887125474,0.8197627296482398,0.49565072284029266,0.5463416236790749,2025
2025-01-09,2024-12-14,0.09891420928600113,0.26536082324674565,3.7070656374939226,1.6926683113726284,0.44942234319069374,1.1342765590466686,0.1664596547221562,1.1767844990390557,2.1490736857881574,1.8948603106221158,1.1083364932923705,1.203697311138965,0.9648850099212666,0.6967890044236535,0.9378643237329691,1.0935783980912004,0.3846781591733121,0.3890147564998502,0.32517258996668336,0.5878167196185459,0.2660099759436951,2025
2025-01-12,2024-12-15,0.11372205326655464,0.2463969773633256,3.679021478142574,1.63900066332201,0.4712888974644532,1.126896232344995,0.1638564272093536,1.189814242467937,2.3007342685135153,1.8502446439255853,1.1123092775207906,1.200483124095256,0.9508020098713097,0.6048030971794792,0.9171845943458803,0.9296779688076424,0.5971452569350052,0.3763044739193245,0.28539984732573387,0.18210954791830758,0.144546824183452,2025
2025-01-15,2024-12-16,0.1441478387435861,0.28289768167110646,3.8969244885409475,1.74227122142854,0.5104164231938418,1.1410954824621962,0.1840818868659074,1.2140656050648642,2.612650443268313,1.9362159311341114,1.129175922901126,1.2221501573008093,1.032726385138498,1.089795299197932,0.9666691170092168,1.3420388202599716,0.4230774344036697,0.3744010403153035,0.570038298488754,0.5728167839023748,0.2884672008834835,2025
2025-01-18,2024-12-17,0.12833123215476416,0.2975241091975365,4.072881086821296,1.7836748732972225,0.48940282489244274,1.146790277444957,0.200413702839671,1.2008777744962391,2.4508544766492593,1.970620701946409,1.1105435095743856,1.2233815216294623,1.0474812791088335,1.15424384750094,0.8783917259807534,1.31118411533056,0.5444923679723803,0.3579180282202674,0.6720666649089206,0.3589916625273763,0.22692658247362793,2025
2025-01-21,2024-12-18,0.12329775341432252,0.30438460568047593,4.683498979389636,1.8035759446101416,0.484519581886516,1.149897515057582,0.2651786585465299,1.198037962349331,2.397748041116925,1.9867557497552157,1.121760449879093,1.2291232634857039,0.9389873786735038,1.1649255673019112,0.9722418771317364,1.0611519222064232,0.44695900659377813,0.3028099577565763,0.6804684145996918,0.2639926672349389,0.12047650623280715,2025
2025-01-24,2024-12-19,0.15241274082224016,0.33808081048008215,3.914624784367367,1.898652178381722,0.5058515715143644,1.1629589736191597,0.18572481755802098,1.2164512716508966,2.7007351368902146,2.0659056318236466,1.121825608668529,1.216085273034792,1.047101284492264,1.2183754737520769,0.9804675533364833,1.3420388202599716,0.5992867154596132,0.3675193419232881,0.617861509904878,0.5327663925726447,0.6348095102807626,2025
