ren_act,ren_rat,thermal_act,thermal_rating,storage_act,storage_cap,hydro_act,load
360.0000040537193,1612.4468515851047,0.0,0.0,0.0,0.0,0.0,655.3223570843576
1860.0000113347928,4758.979649944986,8159.429910704427,9662.580528601256,4032.8400399036996,6070.840039903701,2035.6789703883055,1307.6865359292954
0.0,0.0,4940.000005654461,1592.260617486057,163.3490554214,163.3490554214,550.000004717099,7544.879048499997
1090.0000000583245,3414.726266804282,150.00000097664045,512.1018644012727,3908.0000000318,4498.0000000318,2312.119732535355,1040.4168416948207
1150.000005917706,3628.706038958254,239.99999955007192,605.123494540388,100.0,200.0,69.99999815811124,2756.355030930218
966.1957222154236,1201.0338479492098,1890.000001594928,4503.525197731454,2040.8705153355004,3375.8705153355,1000.0000031589761,2896.2232180395504
2295.7573746408993,1371.4843773337318,761.9392406050171,1168.5195577415527,300.0,600.0,0.0,2902.0296236666663
-6.052896594890979e-6,2647.3949861763135,0.0,0.0,104.0,104.0,0.0,1051.117540850264
-1.198338994314743e-5,943.3656370658185,6010.147367908839,4551.8561050269545,1461.3624,1571.3624,588.0876794968625,2012.322327340314
0.0,0.0,717.2708935986518,1569.2033856008225,0.0,0.0,0.0,1930.702817
-1.7031697599757383e-6,3406.175963315353,1211.5671566759336,1555.2019642217351,3091.2108483704797,3809.2108483704797,0.0,4942.343145493044
548.7145791708887,454.3083405464719,0.0,0.0,0.0,0.0,0.0,1344.5721578124712
499.2279385353099,2362.3531900205307,-1.958254949704006e-6,87.32124598286491,828.1638500547999,1923.7438500548,0.0,2710.7978565062585
914.2375735455379,1097.2483361627626,5589.999693619708,1756.895764029313,96.0153539828,96.0153539828,89.99999551541579,148.73997250216746
270.00000586214384,523.8422841759354,520.0000063498501,441.57764882304576,14.030472202149998,14.030472202149998,2180.0000222106332,1467.7619651438322
