ren_act,ren_rat,thermal_act,thermal_rating,storage_act,storage_cap,hydro_act,load
360.0000040537193,0.0,0.0,0.0,0.0,0.0,0.0,653.7991574889813
1800.0000179288086,0.0,661.5273202239806,381.2981623276729,1950.0,3988.0,2035.6789703883055,1305.5065873557955
0.0,0.0,0.0,0.0,0.0,0.0,550.000004717099,7529.887164499999
870.0000021866631,814.791544926523,150.00000192599214,383.91251382955,375.0,1000.0,2093.015789996128,1037.9225403389778
980.000005285517,542.7089569337471,-1.857133728061822e-6,331.7194262894137,100.0,200.0,69.999999120213,2786.2217030337574
466.1957172064435,262.60484856723474,1260.0000055278094,1607.3264896146152,1485.0,2820.0,1000.0000031589761,2918.405952985796
2295.757375492484,981.58363218724,450.82097997966986,630.7733286107066,300.0,600.0,0.0,2923.8933721666667
-2.585355451622239e-6,298.3303382973366,0.0,0.0,104.0,104.0,0.0,1076.9153036485714
-9.428635303183824e-6,493.4457512406601,2100.000026847568,2445.4968108354224,920.0,1030.0,588.0876794968625,2035.4162266875428
0.0,0.0,717.2708935986518,1569.2033856008225,0.0,0.0,0.0,1933.1152269999993
-8.515848799878691e-7,9.307698062440304,0.0,0.0,2450.0,3168.0,0.0,5074.599941412372
119.99982925224809,94.37366080025055,0.0,0.0,0.0,0.0,0.0,1241.444594720006
191.73530227085647,108.43495165881842,0.0,0.0,780.5,1876.08,0.0,2559.6490136601064
220.0000001421912,67.20088952834618,199.9999834524425,140.8015923205416,0.0,0.0,0.0,136.09553744311046
230.00000488521346,233.5733951044729,400.0000034191065,307.41357017305836,0.0,0.0,2180.0000222106332,1492.908294229059
