ren_act,ren_rat,thermal_act,thermal_rating,storage_act,storage_cap,hydro_act,load
360.0000040537193,4706.586857212667,0.0,0.0,0.0,0.0,0.0,412.0203508213965
1860.0000113347928,8505.205669845041,8159.429910704427,9662.580528601256,9903.724040746098,11941.724040746098,2035.6789703883055,893.7617138528253
0.0,0.0,4940.000005654461,1592.260617486057,3031.51694137665,3031.51694137665,550.000004717099,5359.845050000002
1090.0000000583245,3685.9108177782446,150.00000097664045,512.1018644012727,3873.0000000318,4498.0000000318,2312.119732535355,681.9901261560389
1150.000005917706,4507.1822808384695,239.99999955007192,605.123494540388,100.0,200.0,69.99999815811124,1359.0192770786234
966.1957222154236,6742.431274413361,1890.000001594928,4503.525197731454,5290.918673897099,6625.918673897099,1000.0000031589761,1450.0496421495393
2295.7573746408993,1272.6013291494821,761.9392406050171,1168.5195577415527,300.0,600.0,0.0,1453.8286231666666
-6.052896594890979e-6,2931.0862056390797,0.0,0.0,104.0,104.0,0.0,540.2828130838873
-1.198338994314743e-5,2742.8775889712997,6010.147367908839,4551.8561050269545,1535.626,1645.626,588.0876794968625,1111.5607211315169
0.0,0.0,717.2708935986518,1569.2033856008225,0.0,0.0,0.0,1120.3381595000003
-1.7031697599757383e-6,9521.351897494918,1211.5671566759336,1555.2019642217351,6447.14831964863,7165.14831964863,0.0,3081.056307465218
548.7145791708887,180.91951689844467,0.0,0.0,0.0,0.0,0.0,769.7058075000001
499.2279385353099,2335.5153393678274,-1.958254949704006e-6,87.32124598286491,945.0635484463999,2040.6435484464,0.0,1539.4116150000002
914.2375735455379,902.5756702889512,5589.999693619708,1756.895764029313,970.47846715535,970.47846715535,89.99999551541579,83.40964649999965
270.00000586214384,530.8407381889879,520.0000063498501,441.57764882304576,796.6666703353998,796.6666703353998,2180.0000222106332,1029.0239656665642
