ren_act,ren_rat,thermal_act,thermal_rating,storage_act,storage_cap,hydro_act,load
2247.675640053676,4706.586857212667,0.0,0.0,0.0,0.0,0.0,412.0203508213965
3371.2844231616414,8505.205669845041,8159.429910704427,9662.580528601256,9903.724040746098,11941.724040746098,2035.6789703883055,893.7617138528253
0.0,0.0,4940.000005654461,1592.260617486057,3031.51694137665,3031.51694137665,550.000004717099,5359.845050000002
1019.1943397687262,3685.9108177782446,150.00000097664045,512.1018644012727,3873.0000000318,4498.0000000318,2312.119732535355,681.9901261560389
2862.792992108689,4507.1822808384695,239.99999955007192,605.123494540388,100.0,200.0,69.99999815811124,1359.0192770786234
5467.671709847251,6742.431274413361,1890.000001594928,4503.525197731454,5290.918673897099,6625.918673897099,1000.0000031589761,1450.0496421495393
2479.0903186984324,1272.6013291494821,761.9392406050171,1168.5195577415527,300.0,600.0,0.0,1453.8286231666666
853.5480306489308,2931.0862056390797,0.0,0.0,104.0,104.0,0.0,540.2828130838873
931.3083109258848,2742.8775889712997,6010.147367908839,4551.8561050269545,1535.626,1645.626,588.0876794968625,1102.4951096563263
0.0,0.0,717.2708935986518,1569.2033856008225,0.0,0.0,0.0,1129.4037709751908
1734.9986927702132,9521.351897494918,1211.5671566759336,1555.2019642217351,6447.14831964863,7165.14831964863,0.0,3081.056307465218
146.8168494647472,180.91951689844467,0.0,0.0,0.0,0.0,0.0,769.7058075000001
1378.4019662808626,2335.5153393678274,-1.958254949704006e-6,87.32124598286491,945.0635484463999,2040.6435484464,0.0,1539.4116150000002
769.2731286559425,902.5756702889512,5589.999693619708,1756.895764029313,970.47846715535,970.47846715535,89.99999551541579,83.40964649999965
497.5303151689135,530.8407381889879,520.0000063498501,441.57764882304576,796.6666703353998,796.6666703353998,2180.0000222106332,1029.0239656665642
