number,angle,magnitude
306,-0.04164977619212974,1.0681018518706031
1886,-0.06279164456978611,1.119069620337553
1,0.1415612765670432,1.565749443475364
519,0.12822454388662133,1.4702679981046323
788,0.6022773399669181,1.0157818825335296
1164,-0.20412174046485373,1.0105317604020618
774,0.11384308140201899,1.2958160640806025
1881,0.13910236700644288,1.4600741276475107
1907,0.16531000821581546,1.2570215331326964
599,0.2508631099806907,1.0037839218475308
491,0.0249464468608057,1.3689610865911062
1470,0.7509225936996318,1.0719331806596046
1195,0.0485519565262787,1.083522646105119
1377,0.1334896742577264,1.2076564223697268
228,-0.2097245431951746,1.0086250969496209
332,-0.0492583605043226,1.0165860998242449
190,-0.2264087791269379,1.0773881526558828
227,0.2678238724203083,1.1482437165246357
980,0.11381347241372501,1.1755821061867942
1935,0.029368832477443294,1.3239651535783148
1894,0.15137258301725692,1.5736956244114422
1305,0.27763858834551547,1.0014032491738303
1880,1.1458104424057585,1.1000003628601411
297,0.26960225038054186,1.144728241724574
605,-0.29587778748693694,1.0659876683284761
1106,0.1139779943399031,1.494890358560597
24,-0.2929040539791051,1.0370613304671672
1783,-0.21382160026657296,0.9952497334174872
928,0.13306492825203092,1.5484965492784257
416,0.14682675087239283,1.060861048562606
859,-0.023634080666401762,1.1119738881350665
23,0.11796528198459637,1.4650498817175217
160,0.12024796497143711,1.0664679410343978
1825,0.4086782235584577,1.0362543109945461
1863,-0.023648394970800554,1.094908637600368
1941,0.5751380353968942,1.0459131339293883
204,0.12303363612036904,1.484381921389414
561,-0.08679847552145709,1.0681653676957685
891,0.12426642329049055,1.4651856065001219
1879,-0.02776114814786762,1.3289936181411035
981,0.16510729314332515,1.0882878164086855
815,0.9745521899962577,0.8991502733680549
253,0.052807082338932554,1.4492419560519294
1282,-0.5647363761352681,0.8267720483579353
916,0.13005289681231819,1.4986243833689126
1429,-0.014500631158734774,1.225220821768745
1588,0.1850099294398729,1.067625370216398
843,-0.04044214182441154,1.0895617387428242
39,0.11531194844282273,1.3752591739210154
112,0.4676620281785061,1.0229248979245913
791,-0.04414402479319026,1.0702609377578856
1918,0.17525832192914784,1.007261480297361
372,-0.11438218321710343,1.0104722470429999
34,0.05865939688844816,1.4169980385637522
1665,-0.7612091390745704,1.066127246381934
137,0.4901382972869185,1.009535559798232
590,0.1115500007955107,1.4752823440416543
55,-0.09694484993536677,0.9935584083015273
323,-0.5470226156640859,0.8723590647014311
1628,-0.24200994987017338,1.0066060403457358
17,0.10660934735426295,1.4063216629423159
243,-0.20406667811229315,1.0503746179389115
172,0.23559397803543877,1.1173214175683546
333,-0.6096948568505446,1.3491714711580647
363,-0.047333488269943554,1.0683520287221824
1296,-0.030154144875444995,1.0882368558417872
1721,-0.021742309932683366,1.1002924403049321
550,0.4600913571213064,1.0342962972009064
341,-0.053141098255547164,1.007961690421138
664,0.08629217742424634,1.1847953166993124
912,-0.1311677510275978,1.0439876751299437
1748,-0.48879631782939154,0.7858014489558697
1966,0.8092788220715197,1.3518125340557021
1990,0.31404021116846226,1.3785481524011227
1598,-0.3838332177137929,0.9939947687913295
1685,0.046128674172613134,1.3944730667599574
598,-0.27228173440560177,1.011596038859663
1318,-0.010708193152231388,0.8374056790838231
643,-0.06976293025485587,1.103373595799883
1052,0.06644165789899008,1.263423542035538
14,-0.22360268512014944,1.0595504776893234
167,0.05194142330628419,1.4137588746411847
1121,-0.12885855490589015,1.2942302428732784
613,-0.017474567297879058,1.0453869815816976
1556,0.01580356305709866,1.0440391538258122
96,-0.6650603463152017,1.1917860860988119
456,-0.2319583669399024,0.9727694377699441
1078,0.1715442971289197,1.12603196737968
1922,-0.010029844680574433,1.1028341728834383
257,-0.5555941740841626,1.2271135934153887
510,0.08640396334758282,1.1845195277998355
19,-0.28487606451343095,1.06223244112197
1754,0.180072185972337,1.0848072797114825
2013,0.12204106821114892,1.5573131414201529
673,0.12243250208806623,1.4791614796395212
1502,-0.13725741272845687,1.1321451971878174
925,-0.7309143564666407,0.905315420318485
1824,0.011904660240972193,1.2830573811022457
1785,-0.06213669610408282,1.1156133871710405
197,-0.0765903703644275,1.1323710051989977
1545,0.10959571690872111,1.1203444422895072
401,0.4548336901189403,1.016110879105306
1804,0.10308761908460945,1.5433127497369463
276,0.14229599419191757,1.113710914428254
778,-0.1736014453588805,1.0243505583540995
1973,0.0647552625101191,1.4283208457665753
21,-0.3935984122610658,1.073001076866546
244,-0.3628955378555945,0.9855342917669335
83,-0.0628142466122659,1.088399718054312
582,0.1487634035575078,1.4827749062123605
1043,1.0228769028596538,0.9274500368433247
2011,0.10863847810235351,1.2716661166376229
868,-0.2052557754984748,1.035049901143845
2025,0.12785600967116567,1.7819798468948351
558,-0.21119083989358678,0.9954175781354621
1540,-0.09252389053379441,1.0532547102365426
1974,-0.16913528425339747,1.0219981790279575
1938,0.2374955818704716,1.1495745039168408
871,-0.19173377801000302,1.0221213706622958
1615,1.8339808241618243,0.36824189575224986
3,-0.06674910998564924,1.143073166594533
545,0.3681432226132063,1.0040195781414896
81,-0.25082520078771914,0.9991966423350396
1968,-0.2281713659878755,0.9199571519262782
987,0.13306492612106222,1.5484965718457324
1516,-0.04760473306595999,1.1534135479985812
964,0.13997459558456873,1.3401239808752325
